,Rating,Price,Processor,Brand,SSD_Capacity,Ram,Ram_Type,Display_Size,EMMC_Storage(in_GB),HDD_Storage(in_GB)
331,0.0,191990.0,AMD Ryzen 9 Octa Core Processor,ASUS,1024.0,32.0,DDR5,35.56,0.0,0.0
332,0.0,149990.0,Intel Core i7 Processor (12th Gen),LENOVO,1024.0,8.0,DDR5,40.64,0.0,0.0
333,5.0,281990.0,Intel Core i9 Processor (12th Gen),ASUS,1024.0,32.0,DDR5,39.62,0.0,0.0
334,0.0,211990.0,AMD Ryzen 9 Octa Core Processor,ASUS,1024.0,16.0,DDR5,39.62,0.0,0.0
335,0.0,249990.0,Intel Core i9 Processor (12th Gen),ASUS,1024.0,32.0,DDR5,40.64,0.0,0.0
336,3.0,38490.0,Intel Core i3 Processor (11th Gen),LENOVO,256.0,8.0,DDR4,39.62,0.0,1024.0
337,0.0,57359.0,Intel Core i5 Processor (12th Gen),ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
338,3.9,41890.0,AMD Ryzen 3 Quad Core Processor,DELL,512.0,8.0,DDR4,39.62,0.0,0.0
339,4.4,56090.0,Intel Core i5 Processor (10th Gen),ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
340,0.0,106199.0,AMD Ryzen 7 Octa Core Processor,HP,512.0,16.0,DDR5,40.89,0.0,0.0
341,4.4,104990.0,AMD Ryzen 9 Octa Core Processor,ASUS,512.0,16.0,DDR4,39.62,0.0,0.0
342,4.4,56990.0,AMD Ryzen 5 Quad Core Processor,HP,512.0,8.0,DDR4,39.62,0.0,0.0
343,4.2,33639.0,Intel Core i3 Processor (11th Gen),LENOVO,256.0,8.0,DDR4,39.62,0.0,0.0
344,0.0,94990.0,AMD Ryzen 5 Hexa Core Processor,ASUS,1024.0,16.0,LPDDR4X,35.56,0.0,0.0
345,0.0,157990.0,AMD Ryzen 7 Octa Core Processor,ASUS,1024.0,16.0,DDR5,39.62,0.0,0.0
346,0.0,57990.0,Intel Core i5 Processor (12th Gen),ACER,512.0,8.0,DDR4,39.62,0.0,0.0
347,3.7,129490.0,Intel Core i7 Processor (12th Gen),MSI,1024.0,16.0,DDR4,39.62,0.0,0.0
348,0.0,58590.0,Intel Core i5 Processor (12th Gen),DELL,512.0,8.0,DDR4,39.62,0.0,0.0
349,5.0,44990.0,AMD Ryzen 5 Quad Core Processor,ACER,512.0,8.0,LPDDR5,39.62,0.0,0.0
350,4.4,89890.0,AMD Ryzen 7 Octa Core Processor,DELL,512.0,16.0,GDDR6,39.62,0.0,0.0
351,0.0,98990.0,AMD Ryzen 7 Octa Core Processor,LENOVO,512.0,16.0,DDR4,35.56,0.0,0.0
352,0.0,44990.0,AMD Ryzen 5 Quad Core Processor,ACER,512.0,8.0,LPDDR5,39.62,0.0,0.0
353,0.0,80490.0,AMD Ryzen 5 Hexa Core Processor,HP,512.0,8.0,DDR5,40.89,0.0,0.0
354,0.0,59990.0,AMD Ryzen 5 Quad Core Processor,ASUS,512.0,8.0,LPDDR5,39.62,0.0,0.0
355,4.0,118990.0,Intel Core i7 Processor (12th Gen),LENOVO,512.0,16.0,DDR4,40.64,0.0,0.0
356,0.0,39990.0,AMD Ryzen 3 Quad Core Processor,ASUS,512.0,8.0,LPDDR5,39.62,0.0,0.0
357,4.8,219894.0,Apple M1 Pro Processor,APPLE,1024.0,16.0,Unified,36.07,0.0,0.0
358,4.7,66990.0,AMD Ryzen 5 Hexa Core Processor,DELL,512.0,8.0,DDR4,38.0,0.0,0.0
359,4.5,102490.0,Intel Core i7 Processor (12th Gen),DELL,512.0,16.0,DDR4,35.56,0.0,0.0
360,4.8,85990.0,Intel Core i5 Processor (11th Gen),ASUS,1024.0,8.0,DDR4,39.62,0.0,0.0
361,0.0,154990.0,Intel Core i5 Processor (12th Gen),DELL,512.0,16.0,DDR4,35.56,0.0,0.0
362,4.6,112990.0,Apple M1 Processor,APPLE,512.0,8.0,DDR4,33.78,0.0,0.0
363,4.7,84990.0,Apple M1 Processor,APPLE,256.0,8.0,DDR4,33.78,0.0,0.0
364,3.9,62490.0,AMD Ryzen 7 Octa Core Processor,DELL,512.0,8.0,DDR4,39.62,0.0,0.0
365,4.7,119900.0,Apple M2 Processor,APPLE,256.0,8.0,Unified,34.54,0.0,0.0
366,0.0,158990.0,AMD Ryzen 7 Octa Core Processor,DELL,1024.0,16.0,DDR5,39.62,0.0,0.0
