Title,Rating,Price,Processor,RAM,Display Size,Storage Capacity
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphi...,4.6,"₹99,990",AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,39.62 cm (15.6 Inch) Display,1 TB SSD
MSI Core i3 12th Gen - (8 GB/256 GB SSD/Windows 11 Home) Modern 14 C12M-446IN Thin and Light Laptop,N/A,"₹45,990",Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,35.56 cm (14 Inch) Display,256 GB SSD
ASUS Vivobook Go 15 OLED (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK...,N/A,"₹59,990",AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15...,3.8,"₹1,03,490",Processor: Intel i7-11800H- (2.30 GHz up to 4.60 GHz) 16MB L3,RAM & Storage: 16GB DDR4 (2 DIMM Slots) & 512GB SSD,Color: Dark Shadow Grey,"Display: 15.6"" FHD WVA AG 250 nits 120Hz Narrow Border, Backlit Keyboard Orange"
DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light...,4.7,"₹38,690",AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,256 GB SSD
DELL Inspiron Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) Vostro 5625 Notebook,N/A,"₹73,890",AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,40.64 cm (16 Inch) Display,512 GB SSD
acer Nitro 5 Ryzen 7 Hexa Core 7735HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,N/A,"₹89,990",AMD Ryzen 7 Hexa Core Processor,8 GB DDR5 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
ASUS Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3502ZA-L502WS Laptop,4,"₹75,990",Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
ASUS Ryzen 5 Dual Core 5th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,4.5,"₹61,990",AMD Ryzen 5 Dual Core Processor (5th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
Lenovo Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) V15 -ADA Laptop,3.6,"₹31,490",AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,39.62 cm (15.6 inch) Display,1 TB HDD
DELL Inspiron Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,4.3,"₹44,490",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
